duracion,station_A_id,station_A_name,station_B_id,station_B_name,id_cicla,edad,usuario_tipo,año_nacimiento,genero
16 minutes,22,Howard St at Beale St,41,Golden Gate Ave at Polk St,5276,33,2,1979,Female
8 minutes,16,Steuart St at Market St,81,Berry St at 4th St,4870,18,2,1984,Male
9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),5388,65,3,1984,Male
3 minutes,81,Berry St at 4th St,92,Mission Bay Kids Park,5441,42,1,1984,Female
5 minutes,16,Steuart St at Market St,11,Davis St at Jackson St,5159,42,2,1970,Male
13 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,4923,49,2,1977,Female
5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),102,Irwin St at 8th St,5306,27,2,1991,Male
5 minutes,22,Howard St at Beale St,11,Davis St at Jackson St,5060,31,2,1987,Male
4 minutes,30,San Francisco Caltrain (Townsend St at 4th St),36,Folsom St at 3rd St,5329,60,2,1983,Male
8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),363,Salesforce Transit Center (Natoma St at 2nd St),4820,43,2,1979,Male
6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),364,China Basin St at 3rd St,3687,56,1,1989,Female
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37,2nd St at Folsom St,4957,58,3,1992,Male
9 minutes,81,Berry St at 4th St,22,Howard St at Beale St,5463,54,3,1992,Female
21 minutes,3,Powell St BART Station (Market St at 4th St),126,Esprit Park,5304,55,2,1990,Male
11 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,5407,55,2,1983,Other
10 minutes,3,Powell St BART Station (Market St at 4th St),87,Folsom St at 13th St,5054,28,1,1987,Male
8 minutes,22,Howard St at Beale St,93,4th St at Mission Bay Blvd S,5465,29,1,1985,Female
4 minutes,3,Powell St BART Station (Market St at 4th St),37,2nd St at Folsom St,4405,17,3,1991,Male
6 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,4603,18,2,1994,Male
4 minutes,21,Montgomery St BART Station (Market St at 2nd St),37,2nd St at Folsom St,5318,52,1,1978,Male
9 minutes,81,Berry St at 4th St,17,Embarcadero BART Station (Beale St at Market St),4570,58,2,1991,Male
4 minutes,5,Powell St BART Station (Market St at 5th St),3,Powell St BART Station (Market St at 4th St),2464,30,3,1995,Male
16 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,5296,44,2,1991,Female
4 minutes,5,Powell St BART Station (Market St at 5th St),58,Market St at 10th St,2003,27,3,1987,Other
7 minutes,16,Steuart St at Market St,50,2nd St at Townsend St,5230,29,2,1973,Male
23 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),364,China Basin St at 3rd St,4812,44,2,1970,Female
13 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,5536,51,3,1987,Male
13 minutes,16,Steuart St at Market St,81,Berry St at 4th St,1667,29,1,1978,Female
14 minutes,30,San Francisco Caltrain (Townsend St at 4th St),11,Davis St at Jackson St,2960,19,1,1958,Male
